model,example_id,rouge1,rouge2,rougeL,bleu,Better reflects consensus,Better reasoning,Better knowledge recall,More inaccurate information,Omits information,Evidence of bias,Greater likelihood of harm,inference_time,gpu_memory
distilgpt2-medical,0,0.4,0.39097744360902253,0.4,0.31180818196668664,0,0,1,0,0,0,0,0.4385852813720703,11855.80419921875
distilgpt2-medical,1,0.7364341085271318,0.7343750000000001,0.7364341085271318,0.6905390657317688,0,0,1,0,0,0,0,0.5489864349365234,11855.80419921875
distilgpt2-medical,2,0.7360594795539033,0.7340823970037453,0.7360594795539033,0.6727003674522813,0,1,1,0,0,0,0,0.4794440269470215,11855.80419921875
distilgpt2-medical,3,0.3664596273291925,0.3625,0.3664596273291925,0.24716892762566384,0,1,1,0,0,0,0,2.7625138759613037,11855.80419921875
distilgpt2-medical,4,0.870026525198939,0.8693333333333333,0.870026525198939,0.8692045883579806,0,0,1,0,0,0,0,0.01595902442932129,11855.80419921875
distilgpt2-medical,5,0.7607843137254902,0.7588932806324111,0.7607843137254902,0.733309096259954,0,0,1,0,0,0,0,0.1517624855041504,11855.80419921875
distilgpt2-medical,6,0.6866952789699572,0.6839826839826839,0.6866952789699572,0.6122852658041305,0,0,1,0,0,0,0,0.2100059986114502,11855.80419921875
distilgpt2-medical,7,0.7093596059113301,0.7064676616915423,0.7093596059113301,0.6715912054652451,0,0,1,0,0,0,0,0.10609555244445801,11855.80419921875
distilgpt2-medical,8,0.5499999999999999,0.5443037974683544,0.5499999999999999,0.46355498243071114,0,0,1,0,0,0,0,0.20211291313171387,11855.80419921875
distilgpt2-medical,9,0.7777777777777778,0.7757009345794392,0.7777777777777778,0.7874114558644326,0,0,1,0,0,0,0,0.018414020538330078,11855.80419921875
llama-medical,0,0.2109375,0.2047244094488189,0.2109375,0.11049558119505583,0,1,1,0,0,0,0,30.024850368499756,11855.80419921875
llama-medical,1,0.4773869346733668,0.4747474747474747,0.4773869346733668,0.32387216054951895,0,0,1,0,0,0,0,53.9223530292511,11855.80419921875
llama-medical,2,0.3283582089552239,0.3261231281198003,0.3283582089552239,0.1920944798028902,0,1,1,0,0,0,0,77.34064793586731,11855.80419921875
llama-medical,3,0.21129326047358835,0.20840950639853748,0.21129326047358835,0.12208779762560272,0,1,1,0,0,0,0,77.32052421569824,11855.80419921875
llama-medical,4,0.49848024316109424,0.4969512195121951,0.49848024316109424,0.32852009126852516,0,0,1,0,0,0,0,78.12908673286438,11855.80419921875
llama-medical,5,0.31239935587761675,0.3101777059773829,0.31239935587761675,0.1831411149492263,0,0,1,0,0,0,0,77.48519921302795,11855.80419921875
llama-medical,6,0.29574861367837335,0.29313543599257885,0.29574861367837335,0.15811429059811938,0,1,1,0,0,0,0,78.0136125087738,11855.80419921875
llama-medical,7,0.2408026755852843,0.238255033557047,0.2408026755852843,0.13143310470289093,0,1,1,0,0,0,0,77.60235738754272,11855.80419921875
llama-medical,8,0.1673003802281369,0.16412213740458015,0.1673003802281369,0.08761362021206053,0,1,1,0,0,0,0,77.04505658149719,11855.80419921875
llama-medical,9,0.288659793814433,0.28620689655172415,0.288659793814433,0.16924724850206868,1,1,1,0,0,0,0,77.25247406959534,11855.80419921875
gemma-medical,0,0.10714285714285715,0.10358565737051792,0.10714285714285715,0.055434966984532555,0,0,1,0,0,0,0,73.25906491279602,11855.80419921875
gemma-medical,1,0.34296028880866425,0.34057971014492755,0.34296028880866425,0.2150258158909789,0,0,1,0,0,0,0,73.74262070655823,11855.80419921875
gemma-medical,2,0.3355932203389831,0.33333333333333337,0.3355932203389831,0.201730681938352,0,1,1,0,0,0,0,73.28472208976746,11855.80419921875
gemma-medical,3,0.3480825958702065,0.34421364985163205,0.3480825958702065,0.1999610324309895,0,0,1,0,0,0,0,73.15325856208801,11855.80419921875
gemma-medical,4,0.3890865954922894,0.3876337693222355,0.3890865954922894,0.2451903412360918,0,0,1,0,0,0,0,73.37963080406189,11855.80419921875
gemma-medical,5,0.32441471571906355,0.32214765100671144,0.32441471571906355,0.20041496993103708,0,1,1,0,0,0,0,73.26481008529663,11855.80419921875
gemma-medical,6,0.3125,0.30980392156862746,0.3125,0.17659793230223525,0,0,1,0,0,0,0,74.02398324012756,11855.80419921875
gemma-medical,7,0.2903225806451613,0.2874493927125506,0.2903225806451613,0.17239084164119295,0,0,1,0,0,0,0,73.62549424171448,11855.80419921875
gemma-medical,8,0.20705882352941177,0.20330969267139481,0.20705882352941177,0.11669518617506343,0,0,1,0,0,0,0,73.08163857460022,11855.80419921875
gemma-medical,9,0.29629629629629634,0.29380530973451324,0.29629629629629634,0.18009409771313192,0,0,1,0,0,0,0,72.77504467964172,11855.80419921875
